"CommuteDays","MilesOneWay","Bus"
5,10.71652439,"No"
5,12.44812801,"No"
5,12.44812801,"No"
5,12.44812801,"Yes"
5,12.44812801,"No"
5,12.44812801,"Yes"
5,10.77815627,"No"
5,10.28839296,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
4,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
6,10.77815627,"No"
5,10.28839296,"No"
5,10.77815627,"No"
6,10.77815627,"Yes"
5,10.28839296,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.28839296,"No"
4,10.28839296,"No"
5,10.28839296,"Yes"
4,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
4,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"Yes"
6,10.28839296,"No"
5,10.28839296,"Yes"
3,10.28839296,"No"
5,10.28839296,"No"
5,10.28839296,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.28839296,"No"
5,10.77815627,"Yes"
4,10.77815627,"No"
4,10.77815627,"Yes"
5,10.77815627,"No"
4,10.77815627,"Yes"
4,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"No"
4,10.28839296,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.28839296,"No"
5,10.77815627,"No"
6,10.77815627,"No"
5,10.28839296,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.77815627,"Yes"
4,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.77815627,"Yes"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"No"
5,10.77815627,"Yes"
5,10.77815627,"No"
