WPRDC_ID,HomeZipCode,Destination,Other,MilesOneWay,CommuteDays,PrimaryMode,PrimaryModePercentCommute,PrimaryModeNumberTrips,SecondaryMode,SecondaryModePercentCommute,SecondaryModeNumberTrips,TertiaryMode,TertiaryModePercentCommute,TertiaryModeNumberTrips
11987,15220,Oakland,,5.341066884,5,Carpool,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
12178,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
12185,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,50,5,Drive Alone,50,5,I do not use a third transportation method,0,0
12563,15220,Oakland,,5.341066884,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
12600,15220,Oakland,,5.341066884,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
12610,15220,Oakland,,5.341066884,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
12621,15220,Uptown / Bluff,,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
12835,15220,Oakland,,5.341066884,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
13122,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
13264,15220,Other (please specify),Shadyside,,5,Carpool,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
13266,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Dropped off / Picked up,100,10,I only commute by one method,,0,Carpool,0,0
13582,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
13602,15220,Other (please specify),Robinson ,,3,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,6,I only commute by one method,0,0,I do not use a third transportation method,0,0
13673,15220,Oakland,,5.341066884,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
13714,15220,Other (please specify),South Hills,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",89,9,Carpool,11,1,I do not use a third transportation method,0,0
13813,15220,Other (please specify),Shadyside,,5,"Drive Alone (parked in Downtown, North Shore, Strip District, Station Square, or Oakland)",100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
13892,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,80,8,Drive Alone,20,2,I do not use a third transportation method,0,0
13898,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,4,Bus,20,1.6,Dropped Off,20,1.6,Drove Alone,60,4.8
13990,15220,Downtown (includes Golden Triangle & Lower Hill),,2.87271471,5,Bus,100,10,I only commute by one method,0,0,I do not use a third transportation method,0,0
